USER_ID, GROUP, DOF real R, DOF virtual R, target distance R, target width R, TARGET_DISTANCE_ROTATE, TARGET_WIDTH_ROTATE, ID combined, ID R, REPETITION, TRIAL, SUCCESSFUL CLICKS, Hit, OVERSHOOTS R, PEAK ACCELERATION R, MOVEMENT CONTINUITY R, PEAK SPEED R, HIT TYPE, MT, ERROR R , FIRST REVERSAL R, REVERSAL POINTS R, TP, 
6, 1, 1, 1, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 15, 23, 1, 2, 17854.261099500804, -0.967407948030135, 900.8032657125297, Manual, 2.4404296875, 0.4685931687581077, nan, 2, 2.0488195278111245, 
6, 1, 1, 1, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 16, 25, 1, 0, 10437.813906534331, -0.1389854407243705, 622.6957731283649, Manual, 1.0698280334472656, 0.08818037704902724, nan, 1, 4.673648328216538, 
6, 1, 1, 1, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 17, 27, 1, 1, 13373.560598824992, -0.5242160495981075, 759.8136244168678, Manual, 2.023242950439453, 0.15257995215210166, 90.13727107420252, 2, 2.9655360957500365, 
6, 1, 1, 1, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 18, 29, 1, 0, 7106.058571713397, -0.2997828094122534, 736.3641793081343, Manual, 1.9399681091308594, 0.25354511695813364, nan, 3, 3.092834346997646, 
6, 1, 1, 1, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 19, 31, 1, 1, 11638.490991247536, -0.9282898054941119, 796.6070940110827, Manual, 1.6555519104003906, 0.09785602165251643, 72.18764054047834, 1, 3.624169053417912, 
6, 1, 1, 1, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 20, 33, 1, 1, 7786.4405860936595, -0.7093558818987821, 472.1683642219349, Manual, 1.6890106201171875, 0.29697485903251647, nan, 2, 3.552375531886061, 
6, 1, 1, 1, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 21, 35, 1, 0, 11935.928866044138, -0.46543598321070495, 622.8838540610114, Manual, 1.4373512268066406, 0.2545555769525193, 61.597077044958645, 1, 4.174345064796851, 
6, 1, 1, 1, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 22, 37, 1, 0, 5220.851636002676, -0.3457860918748436, 572.8878729228212, Manual, 1.3010711669921875, 0.350032693658916, nan, 1, 4.611584786611467, 
6, 1, 1, 1, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 23, 39, 1, 0, 14941.392618293503, -0.07543300966631393, 864.9988469855913, Manual, 1.3378410339355469, 0.22608633777358195, 67.99743824161465, 1, 4.484837770560611, 
6, 1, 1, 1, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 24, 41, 1, 1, 8428.068243136122, -0.07814652566763594, 590.0576333987542, Manual, 1.45477294921875, 0.7385682786285145, nan, 1, 4.124354940213971, 
